CLASSROOM INFO
TABLE FOR AC-2-01
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
THURSDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR AC-2-05
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,EE-1-03(TO)     ,SMD002U1M       ,EFD007U2M       ,MA-1-02(TO)     ,EFL005U1M       ,empty           ,PH-1-03(TO)     ,CS-1-02(MO)     ,EE-1-03(TO)(TUT),SMD002U1M(TUT)  ,EFD007U2M(TUT)  ,
TUESDAY,EE-1-03(TO)     ,SMD002U1M       ,EFD007U2M       ,MA-1-02(TO)     ,EFL005U1M       ,empty           ,PH-1-03(TO)     ,CS-1-02(MO)     ,MA-1-02(TO)(TUT),PHL020P1M       ,empty           ,
WEDNESDAY,EE-1-03(TO)     ,SMD002U1M       ,EFD007U2M       ,MA-1-02(TO)     ,EFL005U1M       ,empty           ,PH-1-03(TO)     ,PHL020P1M       ,empty           ,empty           ,empty           ,
THURSDAY,PHL020P1M       ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR AC-2-06
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,CEL004U2M       ,CE-1-01(TO)     ,HSL035U3M       ,HSL201U3M       ,HSL031U3M       ,HSL029U3M       ,CH-1-01(TO)     ,CY-1-04(TO)     ,CH-1-01(TO)(TUT),CEL003U2M       ,empty           ,
TUESDAY,CEL004U2M       ,CE-1-01(TO)     ,HSL035U3M       ,HSL201U3M       ,HSL031U3M       ,HSL029U3M       ,CH-1-01(TO)     ,CY-1-04(TO)     ,CEL003U2M       ,EEL064U3E       ,empty           ,
WEDNESDAY,CEL004U2M       ,CE-1-01(TO)     ,HSL201U3M       ,HSL029U3M       ,CH-1-01(TO)     ,CY-1-04(TO)     ,CEL003U2M       ,EEL064U3E       ,empty           ,empty           ,empty           ,
THURSDAY,EEL064U3E       ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR AC-2-07
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,EFD009U2M       ,HSL057U2M       ,EFD009U2M(TUT)  ,HSL044U2M       ,empty           ,CHL030P6G       ,CHL027P6G       ,CHD010P5M       ,CHD010P5M(TUT)  ,CSC029U2M       ,empty           ,
TUESDAY,EFD009U2M       ,HSL057U2M       ,HSL045U2M       ,HSL044U2M       ,empty           ,CHL030P6G       ,CHL027P6G       ,CHD010P5M       ,CSC029U2M       ,MTD002U2M       ,MTD002U2M(TUT)  ,
WEDNESDAY,EFD009U2M       ,CHL030P6G       ,CHL027P6G       ,CHD010P5M       ,empty           ,empty           ,CSC029U2M       ,MTD002U2M       ,empty           ,empty           ,empty           ,
THURSDAY,MTD002U2M       ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR AC-2-11
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,empty           ,HSL046U2M       ,empty           ,empty           ,empty           ,CEL008U3M       ,CEL040U3E       ,CSC033U3M       ,empty           ,EEL005P1M       ,CEL001U2M       ,
TUESDAY,empty           ,HSL046U2M       ,empty           ,empty           ,empty           ,CEL008U3M       ,CEL040U3E       ,CSC033U3M       ,EEL005P1M       ,CEL001U2M       ,empty           ,
WEDNESDAY,empty           ,CEL008U3M       ,CEL040U3E       ,CSC033U3M       ,empty           ,empty           ,EEL005P1M       ,CEL001U2M       ,empty           ,empty           ,empty           ,
THURSDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR AC-2-08
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,empty           ,empty           ,empty           ,empty           ,empty           ,CSL019U3M       ,CSC032U3M       ,empty           ,EEL071U3E       ,MTD003U2M       ,MTD003U2M(TUT)  ,
TUESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,CSL019U3M       ,CSC032U3M       ,EEL071U3E       ,MTD003U2M       ,CSD019U2M       ,CSD019U2M(TUT)  ,
WEDNESDAY,empty           ,CSL019U3M       ,CSC032U3M       ,EEL071U3E       ,empty           ,empty           ,MTD003U2M       ,CSD019U2M       ,empty           ,empty           ,empty           ,
THURSDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR AC-2-09
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,empty           ,empty           ,empty           ,empty           ,empty           ,EED015U3M       ,EED015U3M(TUT)  ,EEL016U3M       ,CSL058U3E       ,empty           ,EE-1-04(TO)     ,
TUESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,EED015U3M       ,EEL016U3M       ,empty           ,CSL058U3E       ,EE-1-04(TO)     ,EE-1-04(TO)(TUT),
WEDNESDAY,empty           ,EED015U3M       ,EEL016U3M       ,empty           ,empty           ,CSL058U3E       ,empty           ,EE-1-04(TO)     ,empty           ,empty           ,empty           ,
THURSDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR AC-2-10
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,empty           ,empty           ,empty           ,CHD004U2M       ,CHD004U2M(TUT)  ,empty           ,CSC064P1E       ,CSL033U4E       ,CSL021U4E       ,empty           ,empty           ,
TUESDAY,empty           ,empty           ,CHD004U2M       ,empty           ,CSC064P1E       ,empty           ,CSL033U4E       ,CSL021U4E       ,empty           ,MTL012U3E       ,empty           ,
WEDNESDAY,empty           ,CHD004U2M       ,empty           ,CSC064P1E       ,CSL033U4E       ,empty           ,CSL021U4E       ,MTL012U3E       ,empty           ,empty           ,empty           ,
THURSDAY,empty           ,MTL012U3E       ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR AC-1-01
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,empty           ,empty           ,empty           ,CSC048P1M       ,CSC047P1M       ,empty           ,empty           ,empty           ,EEL007P1M       ,CSC063P1E       ,CSL029U4E       ,
TUESDAY,empty           ,empty           ,CSC048P1M       ,CSC047P1M       ,EEL007P1M       ,empty           ,empty           ,empty           ,empty           ,CSC063P1E       ,CSL029U4E       ,
WEDNESDAY,empty           ,CSC048P1M       ,CSC047P1M       ,EEL007P1M       ,empty           ,empty           ,CSC063P1E       ,CSL029U4E       ,empty           ,empty           ,empty           ,
THURSDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR AC-1-02
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,empty           ,empty           ,empty           ,EED003U2M       ,EED003U2M(TUT)  ,empty           ,EED012U2M       ,EED012U2M(TUT)  ,empty           ,EEL006P1M       ,EEL001P5E       ,
TUESDAY,empty           ,empty           ,EED003U2M       ,EED012U2M       ,empty           ,empty           ,EEL006P1M       ,EEL001P5E       ,EEL085P1E       ,EEL079P5E       ,empty           ,
WEDNESDAY,empty           ,EED003U2M       ,EED012U2M       ,empty           ,EEL006P1M       ,empty           ,EEL001P5E       ,EEL085P1E       ,EEL079P5E       ,empty           ,empty           ,
THURSDAY,EEL085P1E       ,EEL079P5E       ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR AC-1-03
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,empty           ,empty           ,empty           ,MTL017P6G       ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TUESDAY,empty           ,empty           ,MTL017P6G       ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
WEDNESDAY,empty           ,MTL017P6G       ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
THURSDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TABLE FOR AC-1-04
,8:00-9:00,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00,5:00-6:00,6:00-7:00
MONDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
TUESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
WEDNESDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
THURSDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
FRIDAY,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,empty           ,
